state,year,metric,value
Andhra Pradesh,2021,Capital: Public Debt Receipts,159609.89
Andhra Pradesh,2021,FC Grant: Health,488.15
Andhra Pradesh,2021,FC Grant: Others,0.0
Andhra Pradesh,2021,FC Grant: Revenue Deficit,17257.0
Andhra Pradesh,2021,FC Grant: Rural Local Bodies,969.5
Andhra Pradesh,2021,FC Grant: SDMF,223.8
Andhra Pradesh,2021,FC Grant: SDRF,895.2
Andhra Pradesh,2021,FC Grant: Urban Local Bodies,1157.35
Andhra Pradesh,2021,Grants in Aid,39169.649999999994
Andhra Pradesh,2021,Motor Vehicle Tax,3432.53
Andhra Pradesh,2021,Non-Debt Capital Receipts,2109.02
Andhra Pradesh,2021,Non-Tax Revenue,5017.34
Andhra Pradesh,2021,SGST,23809.44
Andhra Pradesh,2021,SOTR,70979.49
Andhra Pradesh,2021,Sales/Trade Tax,20808.09
Andhra Pradesh,2021,Share in Union Taxes,35385.83
Andhra Pradesh,2021,Stamps & Registration,7635.2
Andhra Pradesh,2021,State Excise,14702.86
Andhra Pradesh,2021,Total Revenue Receipts,150552.31
Andhra Pradesh,2022,Capital: Internal Debt,177613.18
Andhra Pradesh,2022,Capital: Loan Recoveries,-4.08
Andhra Pradesh,2022,Capital: Loans from Centre,8410.67
Andhra Pradesh,2022,Capital: Misc Receipts,0.0
Andhra Pradesh,2022,Capital: Public Debt Receipts,186023.85
Andhra Pradesh,2022,FC Grant: Health,1.17
Andhra Pradesh,2022,FC Grant: Others,0.0
Andhra Pradesh,2022,FC Grant: Revenue Deficit,10549.0
Andhra Pradesh,2022,FC Grant: Rural Local Bodies,948.35
Andhra Pradesh,2022,FC Grant: SDMF,0.0
Andhra Pradesh,2022,FC Grant: SDRF,940.0
Andhra Pradesh,2022,FC Grant: Urban Local Bodies,735.75
Andhra Pradesh,2022,Grants in Aid,36148.59
Andhra Pradesh,2022,Motor Vehicle Tax,4320.23
Andhra Pradesh,2022,Non-Debt Capital Receipts,-4.08
Andhra Pradesh,2022,Non-Tax Revenue,5416.929999999999
Andhra Pradesh,2022,SGST,27981.2
Andhra Pradesh,2022,SOTR,78025.77
Andhra Pradesh,2022,Sales/Trade Tax,18004.36
Andhra Pradesh,2022,Share in Union Taxes,38176.74
Andhra Pradesh,2022,Stamps & Registration,8022.5
Andhra Pradesh,2022,State Excise,14798.42
Andhra Pradesh,2022,Total Revenue Receipts,157768.03
Andhra Pradesh,2023,Capital: Internal Debt,188630.67
Andhra Pradesh,2023,Capital: Loan Recoveries,23.97
Andhra Pradesh,2023,Capital: Loans from Centre,5011.15
Andhra Pradesh,2023,Capital: Misc Receipts,0.0
Andhra Pradesh,2023,Capital: Public Debt Receipts,193641.82
Andhra Pradesh,2023,Electricity Duty,5528.0
Andhra Pradesh,2023,FC Grant: Health,1003.89
Andhra Pradesh,2023,FC Grant: Others,0.0
Andhra Pradesh,2023,FC Grant: Revenue Deficit,2691.0
Andhra Pradesh,2023,FC Grant: Rural Local Bodies,3974.19
Andhra Pradesh,2023,FC Grant: SDMF,0.0
Andhra Pradesh,2023,FC Grant: SDRF,987.2
Andhra Pradesh,2023,FC Grant: Urban Local Bodies,984.55
Andhra Pradesh,2023,Grants in Aid,34701.8
Andhra Pradesh,2023,Motor Vehicle Tax,4557.09
Andhra Pradesh,2023,Non-Debt Capital Receipts,23.97
Andhra Pradesh,2023,Non-Tax Revenue,7432.12
Andhra Pradesh,2023,SGST,31130.13
Andhra Pradesh,2023,SOTR,85922.24
Andhra Pradesh,2023,Sales/Trade Tax,18475.15
Andhra Pradesh,2023,Share in Union Taxes,45710.74
Andhra Pradesh,2023,Stamps & Registration,9542.35
Andhra Pradesh,2023,State Excise,15997.6
Andhra Pradesh,2023,Total Revenue Receipts,173766.9
Arunachal Pradesh,2013,Capital: Internal Debt,354.15
Arunachal Pradesh,2013,Capital: Loan Recoveries,3.42
Arunachal Pradesh,2013,Capital: Loans from Centre,0.0
Arunachal Pradesh,2013,Capital: Misc Receipts,0.0
Arunachal Pradesh,2013,Capital: Public Debt Receipts,354.15
Arunachal Pradesh,2013,Grants in Aid,3935.0099999999998
Arunachal Pradesh,2013,Non-Debt Capital Receipts,3.42
Arunachal Pradesh,2013,Non-Tax Revenue,405.06
Arunachal Pradesh,2013,SOTR,434.51
Arunachal Pradesh,2013,Share in Union Taxes,1045.85
Arunachal Pradesh,2013,Total Revenue Receipts,5820.43
Arunachal Pradesh,2014,Capital: Internal Debt,1540.4
Arunachal Pradesh,2014,Capital: Loan Recoveries,27.41
Arunachal Pradesh,2014,Capital: Loans from Centre,0.0
Arunachal Pradesh,2014,Capital: Misc Receipts,0.0
Arunachal Pradesh,2014,Capital: Public Debt Receipts,1540.4
Arunachal Pradesh,2014,Grants in Aid,7106.2699999999995
Arunachal Pradesh,2014,Motor Vehicle Tax,17.78
Arunachal Pradesh,2014,Non-Debt Capital Receipts,27.41
Arunachal Pradesh,2014,Non-Tax Revenue,457.64
Arunachal Pradesh,2014,SGST,0.0
Arunachal Pradesh,2014,SOTR,462.16
Arunachal Pradesh,2014,Sales/Trade Tax,195.24
Arunachal Pradesh,2014,Share in Union Taxes,1109.98
Arunachal Pradesh,2014,Stamps & Registration,3.83
Arunachal Pradesh,2014,State Excise,59.87
Arunachal Pradesh,2014,Total Revenue Receipts,9136.05
Arunachal Pradesh,2015,Capital: Internal Debt,621.1
Arunachal Pradesh,2015,Capital: Loan Recoveries,5.48
Arunachal Pradesh,2015,Capital: Loans from Centre,0.0
Arunachal Pradesh,2015,Capital: Misc Receipts,0.0
Arunachal Pradesh,2015,Capital: Public Debt Receipts,621.1
Arunachal Pradesh,2015,Grants in Aid,2550.33
Arunachal Pradesh,2015,Motor Vehicle Tax,19.3
Arunachal Pradesh,2015,Non-Debt Capital Receipts,5.48
Arunachal Pradesh,2015,Non-Tax Revenue,392.12
